id,type,text1,text2,text3,text4,notes
Farsight_Drive,FACTION,"Farsight Drive Biotechnology, usually shortened to FSD, is a secretive Eridani power that appeared in the Persean Sector in C+180 with relief fleets, advanced industry, and an exile story that raises almost as many questions as it answers.

The company trades openly, funds reconstruction, and has made itself useful to several major powers. It is also the only known authority on Reflecting-Light Crystal technology: a living, spatially active material that powers its ships, weapons, and most persistent rumors.

FSD presents itself as a humanitarian expedition with a corporate charter. Its counterterror operations against the Luddic Path are too efficient to ignore, its archives are too sealed to trust, and its friendliness is best treated as a professional hazard.",,,,
,,,,,,
Golgatha_star,CUSTOM,"Perseus GA1087 was once a remote Luddic Path stronghold. Farsight Drive now calls it Golgotha: a memorial name for exile, execution, survival, and the company's return from silence.

Near the system lies a Reflecting-Light Crystal hypershunt processing array, used for encrypted hyperspace communications and system security. The array deliberately makes local space unpleasant for intruders, and older captains still connect it to the so-called Evil Star's Radiance incident.",,,,
Golgatha_I,CUSTOM,"Planet Matthew is Farsight Drive's headquarters and the administrative heart of Golgotha. Before the company's return, the world was held by a Luddic Path warband.

Matthew's ecology does not behave like a normal jungle world. Hostile native growths soften around ecocities, chronic insomniacs sometimes recover after a single night planetside, and sealed regions show evidence of precise terraforming. FSD calls these effects restoration. Outside observers prefer the word experiment.",,"Dense jungle settlements, undersea communities, ravine towers, and subterranean gardens form the main inhabited zones. Untouched wilderness remains sealed by the company. FSD headquarters occupies an oceanic Point Nemo: a resort city and space elevator above the waves, with the command center for the entire system hidden below.",,
Golgatha_II,CUSTOM,"Planet Mark is Farsight Drive's industrial world, military base, and the refuge of the surviving Miras Remnants.

Its poles are given over to heavy industry while a controlled habitable belt remains breathable between them. Pale-yellow toxic cloudbanks over the polar zones suggest that FSD is not preventing pollution so much as pinning it in place.",,"The Miras Remnants maintain their own ecological restoration programs here, using the last institutional memory of their former Mayasuran polity. Mark therefore feels less like a company world than a guarded workshop where survival and manufacturing have been welded together.",,
Golgatha_III,CUSTOM,"Judah, often called Planet Judas, is a quarantined pirate world that began recovering only after the Evil Star's Radiance incident. Its criminals were victims of that disaster before they became subjects of the order that followed.

Whether Judah is a social experiment, a talent sieve, or a punishment colony is still unclear. What is clear is that Farsight Drive watches everything that leaves, enters, or dreams too loudly there.",,,,
,,,,,,
FSD_prosody,SHIP,"The Prosody is an automated frontline frigate that began life as a long-range gunboat before FSD rebuilt it into a shield-pressure brawler.

The Prosody-class project began in C+201 as a heavy gunboat derived from frigate-grade strike craft. Its original purpose was to deliver high burst damage at long range using advanced targeting systems. After the contemporary Storm-class entered service, its designers reconsidered the tactical value of that role and reshaped the ship. The enlarged crystal-boosted ammunition system was converted into a shield-pressure device, while the advanced targeting suite remained.

Its high-end automation gives the targeting and pressure modules generous operating room, but the narrow hull interferes with the engine system. In a sense, the Prosody is a ""mini-Paragon,"" though it lacks that ship's legendary resilience.",,,,
FSD_tonal,SHIP,"The Tonal is a compact drone carrier built to support the battle line rather than survive on it.

Official records describe it as a young design from early C+203. Its distinctive paired composite drone decks resemble the unmanned warships of the First AI War in concept, but FSD has demonstrated their differences and legality to the Hegemony, guaranteeing that the units they produce remain within legal delta-grade intelligence limits.",,,,
FSD_storm,SHIP,"The Night Dew is a fragile missile destroyer wrapped around a Biomass Refining Machine, built to exhaust targets from range.

During the early push to make biomass refineries shipborne, FSD considered using crystal-equipped drones for the job. The plan was abandoned when the refinery was miniaturized, but its design notes later produced this destroyer: a skeletal hull with four medium missile mounts.

Retained automation keeps crew requirements low. Its strange interior is dominated by crystal cores, engines, flux conduits, and especially the refinery. In combat the tactical system reads the ship's fitted missiles and forges additional magnetically confined plasma projectiles.

The Night Dew supports and exhausts enemies from range, and it is not meant for line combat. Like the Domain's Gryphon, it trades defense for missile power; but even gentle-looking dew can crush the insects beneath it when enough weight gathers.",,,,
FSD_auditorium,SHIP,"The Auditorium is Farsight Drive's answer to Persean convoy losses: a freighter that can surprise raiders with destroyer-grade firepower.

When FSD first arrived, Atlas- and Colossus-class freighters carried company goods and humanitarian supplies through the system. Persean ""local customs"" soon caused unacceptable convoy losses. When standard escorts could not eliminate the risk, unarmed freighters were replaced by a line of heavily armed combat freighters.

The Auditorium-class is the company's medium freighter. It has destroyer-grade firepower, but without a Reflecting-Light Crystal it cannot sustain long fights. This weakness is common among FSD's combat logistics hulls.",,,,
FSD_withered,SHIP,"The Withered is an old Eridani capital carrier, retired from FSD mainline service and now often seen with trusted outsiders.

The old Yu-Jing III strike force relied heavily on this Legion-like carrier, but that history vanished when FSD left Eridani. With the Coexistence assault battleship and Equilibrium carrier available, FSD no longer fields this outdated and aesthetically unfashionable modular design in bulk. After early diplomatic partners signed long-term agreements, the Withered began appearing in small independent peacekeeping fleets.

With four flight decks, a broad vulnerable hull, large weapon mounts, and strong shields, the Withered remains efficient in frontal engagements and can serve on the battle line.",,,,
FSD_chimes,SHIP,"The Chimes (PS) is a Persean Sector-market phase ship, stripped of its true crystal core and rebuilt around cheaper export subsystems. The suffix marks it as a local/export fit rather than the true Eridani model.

Compared with the original, this export Chimes carries a wormhole jump system instead of Chronal Burst, removes the crystal core in favor of a bridge layout familiar to Perseans, and replaces several subsystems with cheaper local equivalents. The goal was to make it ""more compatible with Persean combat habits in both technology and tactics."" In practice, it still flies much like the original.

Compared with the Hyperion and Afflictor, the Chimes (PS) appeals to bounty hunters with modest budgets. Its performance sits within normal Persean expectations and improves with combat experience. It also attracts ""mystics"" who repeatedly disassemble hulls looking for secrets of FSD phase technology and Reflecting-Light Crystals. They usually lose money and learn little; FSD does not appear to mind.",,,,
FSD_baiju,SHIP,"The Immaculate is a mass-produced high-speed phase cruiser, fragile under heavy hits but dangerous whenever it can choose the range.

The Immaculate began as a costly technology demonstrator for shipborne Reflecting-Light Crystals. Its baseline performance was ordinary, but its excellent crystal compatibility earned it a place among FSD elite guards, and it was later upgraded across the board. Curiously, it began as a destroyer with a standard shield generator and became a light cruiser with a phase system.

The current Immaculate uses an odd phase system. Its prototype-derived armor and structure do not tolerate heavy piercing or explosive hits, but its agility lets it evade slow projectiles and missiles with ease and use its tactical system to slip through dense close-defense fire around larger warships.",,,,
FSD_baiju(s),SHIP,"The Immaculate (PS) is a Persean Sector variant built to carry the Fluid Crystal Cannon, trading some flexibility for heavier downward pressure and limited anti-air utility.

The Immaculate began as a costly technology demonstrator for shipborne Reflecting-Light Crystals. Its baseline performance was ordinary, but its excellent crystal compatibility earned it a place among FSD elite guards, and it was later upgraded across the board. The current model is an agile phase cruiser with fragile prototype-derived armor and structure.",,,,
FSD_withered_core,SHIP,"Codename Dalandum. The Equilibrium is a carrier-capital built around a Reflecting-Light Crystal intranet, turning nearby fighters and ships into a repairable swarm.

No reliable record gives the exact launch date, but rumor and fragmentary evidence place the Equilibrium among FSD's middle-to-late products: a post-Coexistence capital with an experimental Reflecting-Light Crystal intranet and unique modular layout. It acts as a hive queen and mothership within fleets. Humanitarian convoys that emphasize carrier warfare and attrition often include one, and many phase raiders have learned that self-repairing FSD fighters and frontline ships can become lasting trauma.

Four flight decks, varied mounts, unusually high mobility for a capital carrier, and a triple shield give the Equilibrium excellent air control. Its ideal role is remote support: repairing allies, disrupting enemies, linking fighters and nearby ships, and continuously restoring hull through the crystal intranet.",,,,
FSD_Eventualfeather,SHIP,"Codename Zabran. The Expiation is an elite strike ship built for violent charges, tactical displacement, and fights that end before caution matters.

Public FSD material dates this mysterious fast ship to C+102. Like the older Immaculate, it is exceptionally fast and agile for its size, but it has no patience for duels. Heavy mounts, violent acceleration, and an aggressive tactical system push the crew to close recklessly and end the fight at once.

Many employees see the design as indulgence toward the crystal's autonomy. The hull form, inspired by an instrument of torture, grew increasingly close to carbon-based anatomy during design iteration, and crews often report irrational excitement and poor casualty judgment. Sensible officers dislike piloting it, yet its raw performance has made it famous in the Sector.

Galatian scholars note a vast technical gap between the Doom-class phase ship and the Expiation, implying that Domain and FSD phase technologies may not even share the same conceptual direction.",,,,
FSD_LongSong,SHIP,"The Clearstream (PS) is the Persean Sector legacy pattern of FSD's first distinctive crystal cruiser, descended from unique pre-Collapse Farseer samples rather than the newer full retrofit.

In FSD history, the Clearstream-class was the first cruiser to accept a Reflecting-Light Crystal and the first company ship that could truly be called distinctive. During prototype analysis, the young leadership argued over its role until the Explorer decided to use the Defender and Aurora as references and create a well-rounded assault warship.

Clearstream's baseline performance is slightly better than later peers. It uses early crystal subsystems rather than the current core, custom weapons, efficient derivative engines, and an experimental temporal retainer that fixes the ship's local state. To enemies it can suddenly appear stubbornly durable and aggressively high-tech.",,,,
FSD_sword_wing,SHIP,"The Crossblade is a fighter grown from crystal detritus, durable enough to bully small craft but not built to wrestle destroyers.",,,,
FSD_Spear_wing,SHIP,The Stagnation Spear is a heavy medium-range drone bomber whose SRMs threaten warships much like the ship-mounted launcher.,,,,
FSD_Drone1_wing,SHIP,The Quill is an unmanned escort craft using Lure PD lasers to shepherd allies through missile-heavy airspace.,,,,
FSD_CelestrailArrow_wing,SHIP,"The Celestial Arrow is a special escort fighter that pressures light ships and shields allies from missiles, but struggles against true strike craft.",,,,
FSD_Cocxistence,SHIP,"Codename Napoy. The Coexistence is FSD's first mainline capital: an armored assault battleship that feeds on enemy losses to keep fighting.

The first of FSD's mainline capitals, the Coexistence is an unacknowledged Onslaught derivative and an ""artwork"" created by humans and Reflecting-Light Crystals together. Building a capital around the crystal proved far harder than building escorts and cruisers, and many early bodies collapsed under unstable young crystals before the company adjusted output thresholds and reshaped the hull to suit crystal evolution.

The crystal can intercept and transfer microscopic particles from p-space and higher dimensions to create specific entropy fields. The Coexistence uses that ability through its Cataclysmic Sympathy Field: when multiple targets are locked, armor and hull damage across the battlefield becomes matter and energy for repair and reinforcement. With armor far heavier than most FSD ships, it becomes a brutal strategic problem: hard to erase, hard to escape, and always fed by battle damage.

It usually serves as the core of a major fleet, fighting at the front and cycling between damage taken and self-repair. When this white giant of living steel drifts onto the field singing distant songs, enemies quickly understand they have entered a private hell.",,,,
FSD_FallThought,SHIP,"The Autumn Thought is a recent destroyer built around causality-phase jumps and deep-phase dataflow extraction: agile, destructive, and ruinously expensive.

Humanity has always tried to deliver large amounts of matter faster than light, from gates to FTL communications to hyperspace travel. Before the Collapse, Domain phase and causality scholars proposed that beneath hyperspace-backed phase space lay stacked non-Euclidean states with highly malleable laws. If that ""deep phase"" could be used, interstellar travel might surpass the gates themselves.

The Autumn Thought is a weaponized fragment of that idea: a ship that cuts through causality and leaves destructive information streams in its wake.",,,,
FSD_Buffalo,SHIP,"FSD's Buffalo remains the familiar fragile freighter, but with reduced life-support volume and extra repair equipment for easier field maintenance.",,,,
FSD_XC,SHIP,"The Reminiscence is an assault carrier and air-superiority platform, feared by small ships and ground forces alike.

The Reminiscence-class lacks clear origin records like the Equilibrium. It likely emerged within a decade of FSD's arrival in the Sector and may have begun as a ground-support unit. It is no simple Valkyrie-style deck frame: it has a ship-grade flux system, strong fighter capacity, drive-field generators and heavy phasewave engines tied directly to the crystal core, plus a large HESH chaincannon. The compact layout leaves the hull fragile, but few ships below famous cruisers or capitals willingly duel this ""combat Heron.""

FSD histories spend many pages on Reminiscence operations, most of them patrol, support, and close air work for worlds and fleets under fire.",,,,
FSD_String,SHIP,"The Lyric is a luxury shuttle whose drive-field buffering lets it maneuver violently without disturbing passengers.

The Lyric-class is one of FSD's few civilian ships and perhaps its most approachable design. It was created after Persean League guests visited Golgotha in C+205 and requested more beautiful small craft in orbit above Planet Matthew. Based on the Reminiscence assault carrier, it was gifted to League royalty and soon appeared in exhibitions, receptions, and even racing events.

The only awkward detail is that some guests become uneasy after learning the original design descended from the Reminiscence-class ""Angel of Judgment"" assault carrier.",,,,
FSD_Harmony,SHIP,"The Concordance is a militarized phase tug, using phase-space interaction to feed a stable drive bubble while preserving logistics capacity.

As a purely militarized logistics ship, the Concordance is offered only to friendly mercenary groups and FSD regular forces, and remains expensive. Born three years after the Collapse, before Reflecting-Light Crystal technology matured, it is an advanced phase demonstrator. Its phasewave anchor draws heavy particles and antimatter from shallow phase space to sustain the drive bubble, a compact expression of Domain arrogance toward the phase void.",,,,
FSD_Newchimes,SHIP,"The Chimes is FSD's common phase striker, using Chronal Burst displacement to put energy and missile fire where shields are weakest.

The Chimes is FSD's most common phase ship. Small, lightly slotted, and built around the experimental Chronal Burst system, it briefly tears local spacetime by detonating a type-13 derivative capacitor, accelerating itself in a way that makes causality engineers nervous.

Its armor and structure are fragile, but it is one of the fastest phase ships available in the Sector. In skilled hands, ordinary projectiles are only shadows. Its ideal use is to slip behind an unprepared enemy and strike.",,,,
FSD_Lenient,SHIP,"The Clemency is a tanker and unconventional air-control ship, manufacturing Brimstone autonomous entities from antimatter fuel.

Unlike most FSD units, the Clemency and Immaculate share an early prototype program. It originated from the experimental ""Advent"" forge component, which allowed a forge to operate in phase space and realspace simultaneously. After service as a tanker with part of its fuel tank in phase, it joined derivative research and received a new fuel-processing core.

About a quarter of the hull exists in phase space, causing its unsettling glow. Its ring fuel tank links to modular chambers in phase, so it carries far more fuel than it appears to. The fuel core uses type-13 derivatives and antimatter to manufacture Brimstone entities capable of burning large fighter groups and threatening small and medium enemy ships.",,,,
FSD_stream,SHIP,"The modern Clearstream is the full FSD answer to its own legacy Longsong pattern: a crystal cruiser rebuilt around living cognition rather than clever antique machinery.

FSD keeps the older Clearstream (PS) in circulation for export partners and trusted contractors, but the company does not confuse it with the true Eridani retrofit. The current hull replaces much of the legacy temporal-retainer package with a Reflecting-Light Crystal core, a configurable Longinus armament suite, and hardened control channels for karma-fed reload cycles.

The result is more expensive, less familiar to Persean crews, and far more dangerous. Its role remains that of a balanced assault cruiser, but its weapons and field behavior now answer to a living crystal's interpretation of the battle.",,,,
FSD_delight_core,SHIP,"The Delight is a fast-response command destroyer built around two shield-pod modules and a short overload sprint, meant to arrive exactly where a line is about to fail.

FSD officers describe it as a polite rescue craft; its crews privately describe it as a panic button with guns. The side modules let the destroyer catch incoming fire from awkward angles, while its sprint system turns brief overload states into sudden repositioning rather than a death sentence.

It lacks the deep endurance of FSD's older phase and crystal ships, but in convoy defense and tight fleet actions the Delight earns its name by making an enemy's careful timing collapse.",,,,
